iter;num;solve;time
5;21;True;0.037185000000000024;
6;21;True;0.03683489999999967;
7;21;True;0.0368567999999998;
8;21;True;0.03662939999999981;
9;21;True;0.036544199999999805;
0;22;True;0.015244799999999614;
1;22;True;0.015393000000000434;
2;22;True;0.015296100000000479;
3;22;True;0.015289300000000061;
4;22;True;0.015249599999999752;
5;22;True;0.015221699999999672;
6;22;True;0.015225000000000044;
7;22;True;0.015299499999999355;
8;22;True;0.015331999999999901;
9;22;True;0.015397999999999357;
0;23;True;0.014797600000000521;
1;23;True;0.014843700000000126;
2;23;True;0.014719400000000604;
3;23;True;0.01471789999999995;
4;23;True;0.014860400000000773;
5;23;True;0.014976900000000626;
6;23;True;0.01478829999999931;
7;23;True;0.014678899999999828;
8;23;True;0.01483499999999971;
9;23;True;0.014799899999999866;
0;24;True;0.08571419999999996;
1;24;True;0.1774969000000004;
2;24;True;0.1061115000000008;
3;24;True;0.0450683999999999;
4;24;True;0.09300579999999936;
5;24;True;0.08274079999999984;
6;24;True;0.08048650000000013;
7;24;True;0.10148109999999999;
8;24;True;0.04428289999999979;
9;24;True;0.03465269999999965;
0;25;True;0.0456821000000005;
1;25;True;0.04533780000000043;
2;25;True;0.04544909999999902;
3;25;True;0.0457421999999994;
4;25;True;0.04541009999999979;
5;25;True;0.045545200000001174;
6;25;True;0.045436900000000335;
7;25;True;0.04548310000000022;
8;25;True;0.045670199999999994;
9;25;True;0.04581649999999904;
0;26;True;0.019142600000000343;
1;26;True;0.019023000000000678;
2;26;True;0.01907570000000014;
3;26;True;0.01907959999999953;
4;26;True;0.019032000000001048;
5;26;True;0.01909539999999943;
6;26;True;0.0190759000000007;
7;26;True;0.019017399999999185;
8;26;True;0.019217899999999233;
9;26;True;0.019135799999999037;
0;27;True;0.027825399999999334;
1;27;True;0.027642499999998904;
2;27;True;0.02808839999999968;
3;27;True;0.02887139999999988;
4;27;True;0.02817610000000137;
5;27;True;0.02809699999999893;
6;27;True;0.02814779999999928;
7;27;True;0.028087900000000943;
8;27;True;0.028131500000000642;
9;27;True;0.02804639999999914;
0;28;True;0.055908999999999764;
1;28;True;0.08364700000000092;
2;28;True;0.15461239999999954;
3;28;True;0.05598600000000076;
4;28;True;0.11025919999999978;
5;28;True;0.07461620000000124;
6;28;True;0.11563219999999852;
7;28;True;0.10273700000000119;
8;28;True;0.1309786000000006;
9;28;True;0.10297689999999982;
0;29;True;0.023198600000000624;
1;29;True;0.0229455999999999;
2;29;True;0.023297100000000626;
3;29;True;0.023105899999999124;
4;29;True;0.023005000000001274;
5;29;True;0.02301999999999893;
6;29;True;0.023137000000000185;
7;29;True;0.023025599999998647;
8;29;True;0.02316589999999863;
9;29;True;0.0232240000000008;
0;30;True;0.04038140000000112;
1;30;True;0.04041010000000078;
2;30;True;0.04051469999999924;
3;30;True;0.04048099999999977;
4;30;True;0.040355800000000386;
5;30;True;0.04049220000000098;
6;30;True;0.04008520000000004;
7;30;True;0.04010820000000059;
8;30;True;0.040163800000000194;
9;30;True;0.040229399999999416;
0;31;True;0.03693430000000042;
1;31;True;0.03723510000000019;
2;31;True;0.037253800000000226;
3;31;True;0.03724120000000042;
4;31;True;0.037068699999998955;
5;31;True;0.0369761000000004;
6;31;True;0.038471799999999945;
7;31;True;0.03684569999999887;
8;31;True;0.03673649999999995;
9;31;True;0.03859000000000101;
